,DOGEUSDT,GSTUSDT,spread,zscore
114,0.0866,2.992,-0.003159999999999996,0.00921121396718047
115,0.0866,2.968,-0.0024399999999999977,0.007296348840404009
116,0.0874,2.976,-0.0018799999999999928,0.00549454322959667
117,0.0869,2.983,-0.002589999999999995,0.007661235414421136
118,0.0865,3.011,-0.00383,0.01110914016778244
119,0.0863,2.996,-0.00358,0.010384000470146497
120,0.0869,3.001,-0.003129999999999994,0.009005708442016782
121,0.086,2.957,-0.002710000000000004,0.007798676363028423
122,0.086,2.946,-0.002380000000000007,0.007124179821494501
123,0.0861,2.939,-0.0020700000000000024,0.006143724850999075
124,0.0866,2.91,-0.0007000000000000062,0.0018621430457397643
125,0.0873,2.936,-0.000779999999999989,0.0018817620250637264
126,0.0872,2.972,-0.0019599999999999895,0.0047046168094628076
127,0.0864,2.956,-0.0022799999999999904,0.005465530947961249
128,0.0865,2.929,-0.0013699999999999962,0.0031949268137402907
129,0.0846,2.879,-0.0017700000000000077,0.004119161304419495
130,0.0836,2.858,-0.002140000000000003,0.004974669523336126
131,0.0832,2.794,-0.0006199999999999956,0.0014618384868128331
132,0.0834,2.839,-0.0017699999999999938,0.004276080795255389
133,0.0834,2.834,-0.0016199999999999964,0.003991647296381027
134,0.0841,2.841,-0.001130000000000006,0.0026342671655158515
135,0.084,2.836,-0.0010799999999999838,0.0024231828120284764
136,0.0839,2.873,-0.0022900000000000004,0.005138069884077271
137,0.084,2.905,-0.003149999999999986,0.0070043470578366115
138,0.0839,2.922,-0.0037599999999999995,0.008000507724401773
139,0.0838,2.892,-0.0029599999999999904,0.00657161020596909
140,0.0831,2.873,-0.0030900000000000094,0.007045606880053721
141,0.0836,2.871,-0.0025300000000000045,0.005868999805117395
142,0.0844,2.857,-0.0013100000000000056,0.0029478331954317285
143,0.0841,2.905,-0.003049999999999997,0.006749500325933984
144,0.084,2.912,-0.003359999999999988,0.00725935792532638
145,0.0842,2.933,-0.003789999999999988,0.008578039559532074
146,0.0843,2.905,-0.0028499999999999914,0.007077776305165897
147,0.0843,2.871,-0.0018299999999999983,0.004519048477821258
148,0.0842,2.885,-0.002349999999999991,0.0058107089288120155
149,0.0843,2.876,-0.0019799999999999957,0.005072038940637615
150,0.084,2.917,-0.0035099999999999854,0.009035137598259493
151,0.084,2.914,-0.0034199999999999925,0.008795571998793812
152,0.084,2.881,-0.0024299999999999877,0.007201868332270708
153,0.0843,2.896,-0.002579999999999999,0.007931408409017938
154,0.0851,2.907,-0.0021100000000000008,0.006716751291661149
155,0.085,2.927,-0.002809999999999993,0.01011165092528818
156,0.0845,2.933,-0.0034899999999999792,0.014606203659784335
157,0.0848,2.934,-0.0032200000000000006,0.013776483752829841
158,0.0846,2.86,-0.0011999999999999927,0.004401410825250535
159,0.0845,2.878,-0.0018399999999999944,0.006640512096431044
160,0.084,2.886,-0.002579999999999999,0.009288950936647878
161,0.0844,2.93,-0.003500000000000003,0.012389908133320917
162,0.0845,2.929,-0.003369999999999984,0.011867518255750633
163,0.0848,2.933,-0.0031899999999999845,0.012642114785396598
164,0.0847,2.914,-0.00272,0.01075793537156502
165,0.0846,2.922,-0.003060000000000007,0.012209280417558966
166,0.0845,2.911,-0.0028299999999999853,0.011814897303498594
167,0.0839,2.906,-0.003280000000000005,0.013559039285565103
168,0.0841,2.908,-0.003140000000000004,0.01386201561752709
169,0.0845,2.939,-0.0036699999999999927,0.016076091080662564
170,0.0846,2.91,-0.002700000000000008,0.012547581832609182
171,0.0847,2.903,-0.0023900000000000032,0.01104458947655074
172,0.0864,2.931,-0.0015299999999999897,0.00636149772624867
173,0.0863,2.923,-0.0013900000000000023,0.00519516479458251
174,0.0854,2.91,-0.001899999999999999,0.006822867585602259
175,0.0862,2.937,-0.001909999999999995,0.0067550943153279665
176,0.0862,2.902,-0.0008599999999999997,0.002607134079742826
177,0.0859,2.893,-0.000889999999999988,0.002434373005159113
178,0.0851,2.893,-0.001689999999999997,0.004508218479457732
179,0.0851,2.883,-0.0013900000000000023,0.0037714327583557457
180,0.0851,2.884,-0.0014200000000000046,0.003745727042418201
181,0.0854,2.897,-0.0015099999999999836,0.0038249221660866207
182,0.0849,2.839,-0.00026999999999999247,0.0005996029909275455
183,0.0852,2.833,0.00021000000000000185,-0.0003944520967596247
184,0.0853,2.864,-0.0006199999999999956,0.0010910611098314336
185,0.086,2.897,-0.0009099999999999941,0.0015273540087084253
186,0.0859,2.915,-0.0015499999999999958,0.002598849306344606
187,0.0863,2.904,-0.0008199999999999874,0.0013202919137310309
188,0.0857,2.893,-0.0010899999999999938,0.0017700062646758851
189,0.0855,2.882,-0.0009599999999999886,0.0015783692048222623
